Region,Place Code,Place,ODS Code,GP Practice (ODS Code),Registered Patients,% of patients with a nomination,EPS Items,eRD Items,All Items,EPS Utilisation,eRD Utilisation (EPS Items),eRD Utilisation (All Items)
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82075,Chawton House Surgery (J82075),6894,84.5%,11419,39,11449,99.7%,0.3%,0.3%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82076,Woolston Lodge Surgery (J82076),15148,77.2%,23423,116,23565,99.4%,0.5%,0.5%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82079,Clift Surgery (J82079),7845,31.4%,2988,1,12059,24.8%,0.0%,0.0%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82080,University Health Service (J82080),26126,36.1%,4464,198,4559,97.9%,4.4%,4.3%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82081,St. Mary'S Surgery (J82081),23263,56.4%,18887,2612,18956,99.6%,13.8%,13.8%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82082,Shepherds Spring Medical Centre (J82082),13425,80.1%,16586,4,17184,96.5%,0.0%,0.0%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82083,The Willow Group (J82083),36172,80.3%,57373,10025,57581,99.6%,17.5%,17.4%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82084,Bury Road Surgery (J82084),4523,84.9%,8169,1676,8187,99.8%,20.5%,20.5%
South East,10R,Portsmouth,J82085,Island City Practice (J82085),37146,77.9%,50326,4387,50396,99.9%,8.7%,8.7%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82087,Stoneham Lane Surgery (J82087),7386,79.5%,10343,4333,10344,100.0%,41.9%,41.9%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82088,The Shirley Health Partnership (J82088),13332,71.1%,15114,3466,15500,97.5%,22.9%,22.4%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82089,Hedge End Medical Centre (J82089),18396,83.2%,19521,2253,19564,99.8%,11.5%,11.5%
South East,10R,Portsmouth,J82090,Sunnyside Medical Centre (J82090),,,3,0,4,75.0%,0.0%,0.0%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82092,Aldermoor Surgery (J82092),8237,72.4%,9780,258,11399,85.8%,2.6%,2.3%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82094,Tadley Medical P'Ship (J82094),19721,67.1%,34983,10059,41203,84.9%,28.8%,24.4%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82098,Swan Medical Group (J82098),33193,77.2%,45085,16825,47911,94.1%,37.3%,35.1%
South East,D4U1Y,Frimley,J82099,Richmond Surgery (J82099),14727,77.8%,17875,3256,18413,97.1%,18.2%,17.7%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82101,The Peartree Practice (J82101),18713,77.0%,27214,639,27294,99.7%,2.3%,2.3%
South East,10R,Portsmouth,J82102,The Drayton Surgery (J82102),19021,88.1%,26051,2976,26066,99.9%,11.4%,11.4%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82103,St Mary'S Surgery (J82103),12419,73.4%,14327,5,14917,96.0%,0.0%,0.0%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82104,Stubbington Medical Practice (J82104),12622,83.8%,20971,3551,21065,99.6%,16.9%,16.9%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82106,Gratton Surgery (J82106),7060,20.4%,1307,0,11587,11.3%,0.0%,0.0%
South East,D4U1Y,Frimley,J82110,Fleet Medical Centre (J82110),14811,82.0%,13066,111,13150,99.4%,0.8%,0.8%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82112,New Horizons Medical Partnership (J82112),24123,80.8%,36953,1,36986,99.9%,0.0%,0.0%
South East,10R,Portsmouth,J82114,North Harbour Medical Group (J82114),9563,76.2%,13129,1647,13160,99.8%,12.5%,12.5%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82115,Atherley House Surgery (J82115),5627,65.6%,6496,1701,6497,100.0%,26.2%,26.2%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82116,Twyford Surgery (J82116),9904,63.6%,6206,147,12261,50.6%,2.4%,1.2%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82119,Denmead Health Centre (J82119),9823,71.3%,12251,1603,14742,83.1%,13.1%,10.9%
South East,D4U1Y,Frimley,J82120,Alexander House Surgery (J82120),9765,76.0%,14337,1794,14523,98.7%,12.5%,12.4%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82121,North Baddesley Surgery (J82121),9816,77.4%,12490,432,12546,99.6%,3.5%,3.4%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82122,Alma Road Surgery (J82122),10541,62.2%,12010,60,12017,99.9%,0.5%,0.5%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82124,Alresford Surgery (J82124),10102,52.1%,11478,686,17240,66.6%,6.0%,4.0%
South East,D4U1Y,Frimley,J82125,Jenner House Surgery (J82125),8603,75.5%,10462,1371,10545,99.2%,13.1%,13.0%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82126,Raymond Road Surgery (J82126),4718,72.5%,7521,23,7661,98.2%,0.3%,0.3%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82128,Old Fire Station Surgery (J82128),8879,78.1%,9968,243,10026,99.4%,2.4%,2.4%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82129,New Forest Medical Group (J82129),7788,77.4%,13362,558,13507,98.9%,4.2%,4.1%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82130,Friarsgate Practice (J82130),24518,82.9%,22210,365,22467,98.9%,1.6%,1.6%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82131,Fordingbridge Surgery (J82131),12192,49.6%,19098,2429,29325,65.1%,12.7%,8.3%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82132,Testvale Surgery (J82132),13203,80.3%,24528,85,25192,97.4%,0.3%,0.3%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82134,Vine Medical Group (J82134),27065,85.9%,41426,27913,41437,100.0%,67.4%,67.4%
South East,D4U1Y,Frimley,J82135,Branksomewood H/Care Ctr (J82135),13734,78.4%,13531,1030,13944,97.0%,7.6%,7.4%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82136,Chawton Park Surgery (J82136),10991,80.6%,12616,92,13069,96.5%,0.7%,0.7%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82138,Whitewater Health (J82138),18168,73.3%,25625,5934,26159,98.0%,23.2%,22.7%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82139,Wistaria & Milford Surgeries (J82139),16051,84.2%,30676,3741,31508,97.4%,12.2%,11.9%
South East,D4U1Y,Frimley,J82142,The Border Practice (J82142),10746,73.3%,15308,694,15548,98.5%,4.5%,4.5%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82143,Park Surgery (J82143),16633,80.1%,16321,53,16392,99.6%,0.3%,0.3%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82144,Crown Heights Medical Centre (J82144),27649,74.7%,35766,9628,36738,97.4%,26.9%,26.2%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82145,Abbeywell Surgery (J82145),18607,64.4%,23250,17,28735,80.9%,0.1%,0.1%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82146,Lyndhurst Surgery (J82146),5534,84.6%,9044,787,9075,99.7%,8.7%,8.7%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82147,The Clanfield Practice (J82147),7991,77.8%,7910,266,8025,98.6%,3.4%,3.3%
South East,10R,Portsmouth,J82149,Derby Road Practice (J82149),15711,77.2%,19667,2235,19756,99.5%,11.4%,11.3%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82150,Cornerways Medical Centre (J82150),12094,84.1%,18960,1320,19100,99.3%,7.0%,6.9%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82151,Twin Oaks Medical Centre (J82151),4887,65.1%,7157,0,9540,75.0%,0.0%,0.0%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82152,Bridgemary Medical Centre (J82152),8793,80.1%,16065,4434,16221,99.0%,27.6%,27.3%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82154,Sovereign Health Partnership (J82154),38637,75.0%,40836,4106,40995,99.6%,10.1%,10.0%
South East,10R,Portsmouth,J82155,Portsdown Group Practice (J82155),58376,77.3%,81354,27146,81410,99.9%,33.4%,33.3%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82156,Waterfront And Solent Surgery (J82156),7439,81.2%,11826,661,11846,99.8%,5.6%,5.6%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82157,Wilson Practice (J82157),16859,75.2%,25487,403,25930,98.3%,1.6%,1.6%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82161,Westlands Medical Centre (J82161),10376,82.4%,14897,2087,14929,99.8%,14.0%,14.0%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82163,Oaks Healthcare (J82163),16548,82.0%,26626,5223,26712,99.7%,19.6%,19.6%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82164,Liphook And Liss Surgery (J82164),,,2,0,2,100.0%,0.0%,0.0%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82169,Boyatt Wood Surgery (J82169),8300,78.9%,6998,1,7270,96.3%,0.0%,0.0%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82174,Lockswood Surgery (J82174),13491,85.1%,15717,200,15766,99.7%,1.3%,1.3%
South East,D4U1Y,Frimley,J82178,Princes Gardens Surgery (J82178),10910,68.4%,14650,2532,14753,99.3%,17.3%,17.2%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82180,Chartwell Green Surgery (J82180),6631,80.5%,7098,14,7123,99.6%,0.2%,0.2%
South East,D4U1Y,Frimley,J82181,Mayfield Medical Centre (J82181),9627,71.4%,11681,1275,12479,93.6%,10.9%,10.2%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82183,Mulberry House Surgery (J82183),6015,69.9%,6701,461,6717,99.8%,6.9%,6.9%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82184,Pinehill Surgery (J82184),3359,83.6%,3651,2477,3794,96.2%,67.8%,65.3%
South East,10R,Portsmouth,J82194,East Shore Partnership (J82194),13320,79.3%,19725,5111,19734,100.0%,25.9%,25.9%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82196,Homewell.Curlew Practice (J82196),14481,78.4%,21867,7011,21891,99.9%,32.1%,32.0%
South East,D4U1Y,Frimley,J82198,The Wellington Practice (J82198),4658,74.2%,5564,654,5708,97.5%,11.8%,11.5%
South East,10R,Portsmouth,J82199,The Unicity Medical Centre (J82199),18285,44.4%,4678,612,4685,99.9%,13.1%,13.1%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82201,The Grange Surgery (J82201),7561,79.0%,8219,748,8368,98.2%,9.1%,8.9%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82207,Hill Lane Surgery (J82207),10170,68.2%,8672,320,8834,98.2%,3.7%,3.6%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82208,St. Peters Surgery (J82208),6346,74.7%,8275,61,8308,99.6%,0.7%,0.7%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82210,The Elms Practice (J82210),9184,84.5%,14801,1705,14883,99.4%,11.5%,11.5%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82213,Brook House Surgery (J82213),6143,75.6%,7947,69,8108,98.0%,0.9%,0.9%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82214,Whitchurch Surgery (J82214),9725,56.8%,9541,18,13592,70.2%,0.2%,0.1%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82215,Solent View Medical Practice (J82215),12601,84.5%,19659,2759,19823,99.2%,14.0%,13.9%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82216,Brook Lane Surgery (J82216),12612,96.0%,16233,368,16268,99.8%,2.3%,2.3%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82217,Homeless Healthcare Team (J82217),513,76.2%,670,0,671,99.9%,0.0%,0.0%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82218,Chineham Medical Practice (J82218),16690,80.0%,17055,2701,17185,99.2%,15.8%,15.7%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82605,Walnut Tree Surgery (J82605),4509,60.5%,2588,1064,2597,99.7%,41.1%,41.0%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82622,Living Well Partnership (J82622),37973,77.1%,43671,2307,43759,99.8%,5.3%,5.3%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82625,Boundaries Surgery (J82625),4511,64.8%,4151,44,5688,73.0%,1.1%,0.8%
South East,D4U1Y,Frimley,J82628,Crondall New Surgery (J82628),5753,46.6%,4243,893,7978,53.2%,21.0%,11.2%
South East,D4U1Y,Frimley,J82630,North Camp Surgery (J82630),6114,65.3%,5203,1770,5309,98.0%,34.0%,33.3%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82633,Riverside Partnership (J82633),4119,83.7%,8878,158,9138,97.2%,1.8%,1.7%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82639,Watership Down Health (J82639),18996,74.1%,26555,6013,29660,89.5%,22.6%,20.3%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82640,Horndean Surgery (J82640),6324,82.9%,9122,1763,9340,97.7%,19.3%,18.9%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82646,Park Lane Medical Centre (J82646),9912,82.4%,14799,1251,15033,98.4%,8.5%,8.3%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82663,Highfield Health (J82663),7296,56.7%,3155,192,3167,99.6%,6.1%,6.1%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82669,Rowner Health Centre (J82669),8456,79.8%,12929,2877,13062,99.0%,22.3%,22.0%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83001,Merchiston Surgery (J83001),13659,78.1%,22812,2185,22831,99.9%,9.6%,9.6%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83002,Westrop Medical Practice (J83002),33359,71.2%,39598,10402,42932,92.2%,26.3%,24.2%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83003,Harcourt Medical Centre (J83003),12915,83.1%,20018,1877,20211,99.0%,9.4%,9.3%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83004,Whiteparish Surgery (J83004),7136,15.2%,2530,2,13547,18.7%,0.1%,0.0%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83005,Barcroft Medical Centre (J83005),11021,73.9%,18171,615,19038,95.4%,3.4%,3.2%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83006,Purton Surgery (J83006),11015,78.7%,16711,959,17335,96.4%,5.7%,5.5%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83007,Hathaway Surgery (J83007),16035,84.0%,19723,1084,19890,99.2%,5.5%,5.4%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83008,Lovemead Group Practice (J83008),19163,81.3%,28490,2353,28619,99.5%,8.3%,8.2%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83009,Ridgeway View Family Practice (J83009),14220,72.5%,24342,6778,31089,78.3%,27.8%,21.8%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83010,Porch Surgery (J83010),11648,87.7%,21251,6006,21342,99.6%,28.3%,28.1%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83011,Giffords Primary Care Ctr (J83011),14323,81.8%,26870,2319,26925,99.8%,8.6%,8.6%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83013,Box Surgery (J83013),7734,79.9%,10282,2962,10296,99.9%,28.8%,28.8%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83014,Castle Practice (J83014),15824,77.9%,23998,15,24549,97.8%,0.1%,0.1%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83016,Trowbridge Health Centre (J83016),31526,83.6%,43666,5266,43686,100.0%,12.1%,12.1%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83018,Avenue Surgery (J83018),18601,81.3%,30328,787,30542,99.3%,2.6%,2.6%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83019,The Orchard Partnership (J83019),12112,26.3%,7866,0,25314,31.1%,0.0%,0.0%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83021,Salisbury Medical Practice (J83021),23918,79.3%,31014,1803,31143,99.6%,5.8%,5.8%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83022,Old Town Surgery (J83022),9091,74.2%,9856,1277,10135,97.2%,13.0%,12.6%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83023,Avon Valley Practice (J83023),8389,37.2%,9114,0,16109,56.6%,0.0%,0.0%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83024,Priory Road Medical Centre (J83024),8680,75.2%,19212,5120,19311,99.5%,26.7%,26.5%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83026,Three Chequers Medical Practice (J83026),24006,64.9%,34727,882,44018,78.9%,2.5%,2.0%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83027,Hawthorn Medical Centre (J83027),12794,81.4%,29044,10709,29163,99.6%,36.9%,36.7%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83029,Tinkers Lane Surgery (J83029),8506,80.6%,15776,5179,15861,99.5%,32.8%,32.7%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83030,Bradford-On-Avon And Melksham Health (J83030),20021,70.9%,33736,9794,38681,87.2%,29.0%,25.3%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83031,Moredon Medical Centre (J83031),12104,92.6%,20599,4255,20602,100.0%,20.7%,20.7%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83033,Whalebridge Practice (J83033),11573,57.7%,8126,167,8226,98.8%,2.1%,2.0%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83034,Lansdowne Surgery (J83034),7070,85.4%,10365,78,10401,99.7%,0.8%,0.7%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83035,Abbey Meads Medical Pract (J83035),18023,95.4%,22515,2831,22519,100.0%,12.6%,12.6%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83036,Ashington House Surgery (J83036),10314,76.5%,14589,3994,14721,99.1%,27.4%,27.1%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83037,Kennet And Avon Medical Partnership (J83037),17580,63.6%,23450,0,29581,79.3%,0.0%,0.0%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83038,Kingswood Surgery (J83038),27089,65.1%,28133,4792,28760,97.8%,17.0%,16.7%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83039,Northlands Surgery (J83039),12971,89.1%,19602,437,20121,97.4%,2.2%,2.2%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83040,Westbury Group Practice (J83040),23636,86.0%,34007,346,36960,92.0%,1.0%,0.9%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83041,Malmesbury Medical Partnership (J83041),16502,80.4%,21467,3380,21642,99.2%,15.7%,15.6%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83042,Rowden Surgery (J83042),17842,85.2%,22132,1244,22182,99.8%,5.6%,5.6%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83043,Downton Surgery (J83043),6851,40.9%,6026,391,12774,47.2%,6.5%,3.1%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83045,Ramsbury Surgery (J83045),9815,12.1%,2198,0,17919,12.3%,0.0%,0.0%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83046,Spa Medical Centre (J83046),14053,89.4%,27811,1615,27976,99.4%,5.8%,5.8%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83047,Eldene Surgery (J83047),8177,78.9%,11968,398,12082,99.1%,3.3%,3.3%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83048,St Melor House Surgery (J83048),6171,77.6%,10952,7,11636,94.1%,0.1%,0.1%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83049,Southbroom Surgery (J83049),12075,81.4%,16941,71,17021,99.5%,0.4%,0.4%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83050,Patford House Partnership (J83050),15421,78.1%,16575,508,18224,91.0%,3.1%,2.8%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83052,Sarum Health Group (J83052),10900,67.2%,14522,482,15638,92.9%,3.3%,3.1%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83053,St. James Surgery (J83053),7250,86.5%,9782,127,9802,99.8%,1.3%,1.3%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83055,New Court Surgery (J83055),10043,80.2%,17792,4816,17852,99.7%,27.1%,27.0%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83056,Market Lavington Surgery (J83056),5699,85.6%,8321,956,8361,99.5%,11.5%,11.4%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83057,North Swindon Practice (J83057),16322,79.5%,25949,6329,26188,99.1%,24.4%,24.2%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83058,Tisbury Surgery (J83058),4131,79.2%,7610,1652,7821,97.3%,21.7%,21.1%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83059,The Lawn Medical Centre (J83059),8477,77.6%,14948,6762,14983,99.8%,45.2%,45.1%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83060,Mere Surgery (J83060),4807,63.9%,6863,0,9734,70.5%,0.0%,0.0%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83064,Ridge Green Medical Practice (J83064),11369,83.1%,14409,3667,14520,99.2%,25.4%,25.3%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J83601,Burbage Surgery (J83601),4180,5.7%,707,146,7576,9.3%,20.7%,1.9%
